10, 2681188, 13667, 2
20, 2681188, 27311, 2
50, 2681188, 30701, 2
100, 2681188, 33209, 2
10, 2681188, 13861, 2
20, 2681188, 26873, 2
50, 2681188, 67481, 2
100, 2681188, 74530, 2
100, 2681188, 72891, 2
100, 2681188, 75245, 2
100, 2681188, 66942, 2
100, 2681188, 74961, 2
3, 2681188, 3028, 2
3, 2681188, 4529, 2
3, 2681188, 44096, 2
3, 2681188, 37669, 2
3, 2681188, 2946, 2
3, 2681188, 2964, 2
5, 2681188, 7384, 2
5, 2681188, 11546, 2
20, 2681188, 15832, 2
20, 2681188, 27203, 2
10, 2681188, 13743, 2
20, 2681188, 27321, 2
10, 2681188, 9699, 2
10, 2681188, 15, 2
10, 2681188, 7179, 2
10, 2681188, 14268, 2
10, 2681188, 13880, 2
10, 2681188, 13349, 2
10, 2681188, 4747, 2
10, 2681188, 13809, 2
