1, 2681188, 1038, 2, 0
2, 2681188, 5421, 2, 0
3, 2681188, 5055, 2, 0
4, 2681188, 3850, 2, 0
5, 2681188, 6142, 2, 0
6, 2681188, 5355, 2, 0
7, 2681188, 4035, 2, 0
8, 2681188, 5012, 2, 0
9, 2681188, 6109, 2, 0
10, 2681188, 6154, 2, 0
20, 2681188, 13436, 2, 0
30, 2681188, 20941, 2, 0
40, 2681188, 28908, 2, 0
50, 2681188, 41403, 2, 3
60, 2681188, 51320, 2, 2
70, 2681188, 73003, 2, 12
1, 2681188, 1024, 2, 0
1, 2681188, 1003, 2, 0
2, 2681188, 3006, 2, 0
2, 2681188, 9376, 2, 0
3, 2681188, 5592, 2, 0
3, 2681188, 9971, 2, 0
4, 2681188, 4233, 2, 0
4, 2681188, 4976, 2, 0
5, 2681188, 4002, 2, 0
5, 2681188, 4857, 2, 0
6, 2681188, 5236, 2, 0
6, 2681188, 5604, 2, 0
7, 2681188, 7440, 2, 0
7, 2681188, 6160, 2, 0
8, 2681188, 6806, 2, 0
8, 2681188, 7038, 2, 0
9, 2681188, 8135, 2, 0
9, 2681188, 8365, 2, 0
10, 2681188, 8912, 2, 0
10, 2681188, 8829, 2, 0
20, 2681188, 18425, 2, 0
20, 2681188, 18576, 2, 0
30, 2681188, 27224, 2, 0
30, 2681188, 29393, 2, 0
40, 2681188, 40134, 2, 1
40, 2681188, 37312, 2, 1
50, 2681188, 74871, 2, 1
50, 2681188, 75481, 2, 1
60, 2681188, 81229, 2, 0
60, 2681188, 78666, 2, 4
70, 2681188, 83284, 2, 8
70, 2681188, 139138, 2, 16
