1, 20496, 404, 4
1, 20496, 807, 4
1, 20496, 432, 4
1, 20496, 425, 4
1, 20496, 395, 4
1, 51216, 94, 4
1, 51216, 327, 4
1, 51216, 697, 4
1, 51216, 765, 4
1, 51216, 213, 4
1, 102416, 74, 4
1, 102416, 474, 4
1, 102416, 687, 4
1, 102416, 239, 4
1, 102416, 154, 4
1, 5242896, 495, 4
1, 5242896, 870, 4
1, 5242896, 813, 4
1, 5242896, 301, 4
1, 5242896, 682, 4
1, 52428816, 868, 4
1, 52428816, 35, 4
1, 20496, 210, 4
1, 20496, 44, 4
1, 20496, 537, 4
1, 20496, 113, 4
1, 20496, 349, 4
1, 51216, 339, 4
1, 51216, 363, 4
1, 51216, 165, 4
1, 51216, 664, 4
1, 51216, 264, 4
1, 102416, 551, 4
1, 102416, 498, 4
1, 102416, 245, 4
1, 102416, 402, 4
1, 102416, 223, 4
1, 5242896, 223, 4
1, 5242896, 514, 4
1, 5242896, 66, 4
1, 5242896, 667, 4
1, 5242896, 473, 4
1, 52428816, 774, 4
1, 52428816, 504, 4
1, 20496, 723, 4
1, 20496, 657, 4
1, 20496, 70, 4
1, 20496, 371, 4
1, 20496, 390, 4
1, 51216, 18, 4
1, 51216, 630, 4
1, 51216, 893, 4
1, 51216, 190, 4
1, 51216, 849, 4
1, 102416, 1016, 4
1, 102416, 696, 4
1, 102416, 419, 4
1, 102416, 28, 4
1, 102416, 243, 4
1, 5242896, 253, 4
1, 5242896, 27, 4
1, 5242896, 479, 4
1, 5242896, 223, 4
1, 5242896, 736, 4
1, 52428816, 458, 4
1, 52428816, 251, 4
